"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "PostCSS", "TypeScript", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\Readme.md", "Markdown", 0, -41, 0, 0, 0, 0, 0, 0, -9, -50
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\jest.config.js", "JavaScript", 0, 0, -8, 0, 0, 0, 0, -1, -3, -12
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\tsconfig.json", "JSON with Comments", -15, 0, 0, 0, 0, 0, 0, 0, -1, -16
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, -12, 0, -1, -13
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\postcss.config.js", "JavaScript", 0, 0, -6, 0, 0, 0, 0, 0, -1, -7
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\api\index.ts", "TypeScript", 0, 0, 0, 0, -6, 0, 0, 0, -3, -9
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -17, 0, 0, -4, -21
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -7, 0, 0, -3, -10
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\MainLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -13, 0, -1, -3, -17
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -16, 0, 0, -3, -19
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -13, 0, 0, -6, -19
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\SideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -82, 0, -5, -16, -103
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Amigos.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -338, 0, -6, -28, -372
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Degustaciones.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -653, 0, -53, -64, -770
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Galardones.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -159, 0, -3, -17, -179
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -317, 0, -47, -62, -426
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -79, 0, -1, -10, -90
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -292, 0, -4, -33, -329
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -235, 0, -4, -27, -266
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\VerifyEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -48, 0, -1, -6, -55
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\routes\AppRoutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -63, 0, -1, -6, -70
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\styles\globals.css", "PostCSS", 0, 0, 0, -6, 0, 0, 0, 0, -2, -8
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\utils\validators.ts", "TypeScript", 0, 0, 0, 0, -10, 0, 0, 0, -1, -11
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\tailwind.config.js", "JavaScript", 0, 0, -10, 0, 0, 0, 0, -1, -1, -12
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\tsconfig.json", "JSON with Comments", -20, 0, 0, 0, 0, 0, 0, 0, -1, -21
"Total", "-", -35, -41, -24, -6, -16, -2344, -12, -128, -313, -2919